,headline,sentiment,label
32,একই পরিবারের চারজনের প্রাণ কেড়ে নিল ‘আলু’! কিন্তু কীভাবে? জানলে চমকে যাবেন?,0,0
33,"যারা এসএসসিতে ফেল করবে, বন্ধ হয়ে যাবে তাদের ফেইসবুক আইডি!",1,0
34,বিকাশে রিচার্জে শতভাগ ক্যাশব্যাকের সময় বাড়ল,1,0
35,বিয়ের রাতের উপহার,0,0
36,আটকে পড়া বিড়াল ছানা উদ্ধারে ফায়ার সার্ভিস,1,0
37,সমঝোতায় এলেন শাজাহান ও তৈমুর | দৈনিক মতিকণ্ঠ,0,0
38,আবারও উত্তপ্ত পাক-ভারত সম্পর্ক,1,1
39,চট্টগ্রামে গোলাগুলিতে নিহত ১,0,1
40,বন্দুকের নলের মুখে বিচার বিভাগ সরকারের নিয়ন্ত্রণে: রিজভী,0,1
41,পাকিস্তানের ৩ উইকেট তুলে নিল ভারত,1,1
42,চার উইকেট হারিয়ে চাপে বাংলাদেশ,1,0
43,দেশের হয়ে শেষ ওয়ানডেটা খেলে ফেললেন গেইল,0,1
44,বেনাপোলে স্মৃতিসৌধের আবর্জনা পরিস্কার করল ছাত্রলীগ,0,1
45,চবিতে ছাত্রলীগের দু’গ্রুপের সংঘর্ষ আহত ১০,1,1
46,পাঁচ বছর কারাদণ্ড বহাল রেখে সড়ক পরিবহন বিল পাস,1,0
47,বাগেরহাটে আ.লীগের দু’গ্রুপের দ্বন্দ্বের জের ধরে দুইজনকে কুপিয়ে হত্যা,0,1
48,যুগ্ম সচিব হলেন ১৫৪ কর্মকর্তা,1,1
49,যশোরে শুদ্ধ প্রকল্প পরিদর্শনে ইউএসআইডি মিশন পরিচালক,0,0
50,পুটুনদা এখন টিকেট মাংগে: লিমা | দৈনিক মতিকণ্ঠ,0,0
51,রাজধানীতে বিশ্ব শান্তি দিবসের র‌্যালি,0,1
52,সিঞ্জি থাইক্যা গুলশানে নাইম্যা আইলো সিংগ,1,0
53,মদ্যপানে বছরে মারা যান ৩০ লাখ,1,0
54,"বা‌গেরহা‌টে দুর্বৃত্তের গু‌লি‌তে একজন নিহত, আহত ২",0,0
55,টাইগারদের বিজয়ে প্রধানমন্ত্রীর অভিনন্দন,1,1
56,"ট্রেন দুর্ঘটনা, চট্টগ্রামের সঙ্গে সারাদেশের রেল যোগাযোগ বন্ধ",1,1
57,নওগাঁয় চোরাই মোটরসাইকেলসহ আটক ৬,1,1
58,"আমি নারী, পিরিয়ড তো হবেই ২২ সেপ্টেম্বর, ২০১৮ ১০:০০",0,1
59,বিচারপতি ও আইনজীবীদের সঙ্গে প্রধান বিচারপতি সাক্ষাৎ,0,1
60,ভারতের নির্বাচন ২০১৯; কী হতে যাচ্ছে?,0,1
61,তেলাপোকা দূর করে বেকিং সোডা,1,0
62,শিক্ষানুরাগী এ কে জাফর খানের মৃত্যুবার্ষিকী উপলক্ষে স্মরণসভা,0,1
63,গরম লাগলে আমার কোলে বসুন : নারীযাত্রীকে উবার চালক,0,0
64,"৭ দফা দাবিতে ডিসি অফিস ঘেরাও ২৪ সেপ্টেম্বর, ২০১৮ ১৫:২৫",0,1
65,মেকআপের মাধ্যমে ব্রণ ঢাকার উপায়,1,1
66,দেশকে অস্থিতিশীল করতে বিএনপি বিদেশে গিয়ে কান্নাকাটি করছে,0,0
67,সিংড়ায় অবৈধ সৌঁতিজাল ও বাঁধ দিয়ে মত্স্য নিধন,1,1
68,বখাটে মিঠুন বাঁচতে দিল না দিশাকে,0,1
69,কোটালীপাড়ায় শিশু ধর্ষণচেষ্টার আসামিসহ গ্রেফতার ২,0,1
70,বৃহস্পতিবার বৃষ্টি হতে পারে,1,0
71,কোটালীপাড়ায় অবরুদ্ধ ৮ পরিবার: দেখলেন ইউএনও,0,1
72,যেভাবে ফাইনাল খেলতে পারবে বাংলাদেশ,1,1
73,যুক্তফ্রন্ট ও জাতীয় ঐক্য প্রক্রিয়ার নেতাদের আমন্ত্রন জানাতে পারে বিএনপি,0,1
74,পান্ডিয়ার এশিয়া কাপ শেষ,0,0
75,বি. চৌধুরীর বাসায় বৈঠকে জাতীয় ঐক্যের নেতারা,0,1
76,রাজৈরে পানিতে ডুবে দুই শিশুর মৃত্যু,0,1
77,ছোটদের জন্য ‘অ্যালকোহলমুক্ত’ গাঁজার বিয়ার আসছে বাজারে!,1,0
78,ধোনি একাই ৮০০!,0,1
79,অভিনেতা অলোক নাথের বিরুদ্ধে ধর্ষণের অভিযোগ,1,1
80,মেয়ে হত্যার বিচার চেয়ে দ্বারে দ্বারে ঘুরছেন দিনমজুর পিতা,0,1
81,"নির্বাচনের আগে ইসিতে নিয়োগ পাবে ২ হাজার জনবল ০৪ অক্টোবর, ২০১৮ ২৩:৪৪",0,1
82,২০২১ সালের মধ্যে তরল দুধে স্বয়ংসম্পূর্ণ হবে দেশ,1,1
83,"‘আবারো প্রধানমন্ত্রী হবেন শেখ হাসিনা, আশাবাদ বিশ্বনেতাদের’",0,1
84,‘পাল্টাপাল্টি সমাবেশ দিবে না ১৪ দল’,1,1
85,সালামি দেওয়ার ভয়ে আকাশের দিকে পা তুলে ঈদ কাটালেন ময়মনসিংহের নাসির মিয়া - Bengal Beats,0,0
86,‘যথাসময়ে সংবিধান মেনে ডাকসু নির্বাচন হবে’,0,0
87,শাহজালালে লেফ্‌ট-বিহাইন্ড ব্যাগ হোম ডেলিভারি চালু হচ্ছে অক্টোবরে,1,1
88,বিশ্বকাপে অংশগ্রহনের জন্য ICC-র কাছে আবেদন জানালো নোয়াখালী ক্রিকেট দল - Bengal Beats,0,0
89,"পান্ডিয়ার দুর্দান্ত ক্যাচ, সাজঘরে সরফরাজ",1,0
90,তারেককে প্রতীকী ফাঁসি দিল ছাত্রলীগ,0,1
91,মুক্তিযোদ্ধা সন্তানদের শাহবাগ মোড় অবরোধ,1,1
92,"তামাক ব্যবসার সম্প্রসারণ নয়, চাই নিয়ন্ত্রণ",1,1
93,দুই শিক্ষার্থীর পরিবারকে জাবালে নূরের ক্ষতিপূরণ,0,1
94,"বন্ধুর সঙ্গে রেস্টুরেন্টে অন্তরঙ্গতার ভয়াবহ পরিণতি ২৭ সেপ্টেম্বর, ২০১৮ ০৮:৩৪",1,1
95,২৭ সেপ্টেম্বর রাজধানীতে সমাবেশ করবে বিএনপি,0,1
96,যুবদল নেতাকে হত্যার অভিযোগে হাতি আটক,1,1
97,ঝড়ের সময় বাইতুল মোকাররমে নিহত ১,0,0
98,সাড়ে পাঁচ হাজার শিক্ষক পাচ্ছেন পদোন্নতি,0,1
99,ধুঁকছে বাংলাদেশ,1,0
100,সুস্থ থাকতে সঠিক সময়ে খেতে হবে,1,1
101,ডাইলে লবন না দেওয়াতে স্ত্রীকে ডিভোর্স দিলেন বরিশালের মনু - Bengal Beats,0,0
102,পিরোজপুরের নেতাদের যা বললেন ওবায়দুল কাদের,0,1
103,গাজীপুরে টেক্সটাইল মিলে আগুন,1,1
104,মাধ্যমিক শিক্ষা পর্যন্ত সরকারিকরণের পরিকল্পনা আ.লীগের: খালিদ,0,1
105,জামাই আদর না পেয়ে শ্বশুরবাড়ীর ৬ জনকে গুলি করে হত্যা!,0,0
106,সাহিত্য সংবাদ,1,0
107,সাভারে কষ্টি পাথরসহ দুই যুবক আটক,1,0
108,ইলিশে সয়লাব খুলনার বাজার!,0,1
109,"হাসপাতালে জীবাণুর সংক্রমণে ৭ জনের মৃত্যু, ওটি বন্ধ",0,0
110,লালমনিরহাটে স্বেচ্ছাসেবক দল নেতাসহ গ্রেফতার ২৭,1,1
111,বৃদ্ধ বৃদ্ধাদের দেখাশোনার জন্যে সরকারিভাবে খুব একটা উদ্যোগ নেই: সুলতানা,1,1
112,রাশিয়ায় দুই বাসের সংঘর্ষে নিহত ১৩,0,1
113,নয়াপল্টনে কেন্দ্রীয় কার্যালয়ে জরুরি বৈঠকে বিএনপি নেতারা,0,1
114,যুক্তরাষ্ট্রকে প্রশংসায় ভাসালেন সৌদি প্রিন্স,1,1
115,"রোহিঙ্গা সংকটের উদ্ভব মিয়ানমারে, সমাধানও হতে হবে সেখানে: শেখ হাসিনা",0,1
116,গরমের তীব্রতায় লাচ্ছির লোভ দেখিয়ে মেয়ে পটালো নিউমার্কেটের লোকমান,0,0
117,আনসারুল্লাহ বাংলা টিমের সমন্বয়কসহ তিন জঙ্গি গ্রেপ্তার,1,1
118,যৌনদাসী থেকে নোবেল পুরস্কার বিজয়ী নাদিয়া মুরাদ,1,1
119,উন্নয়নের বার্তা মানুষের কাছে পৌছে দিতে যাচ্ছি',0,1
120,নাটোরে আরো একটি গ্রেনেড উদ্ধার,0,0
121,ভেঙেই গেল 'অসম প্রেম'টি,1,1
122,"সম্পাদকের বিরুদ্ধে মামলা প্রত্যহারের দাবিতে মানববন্ধন ০২ অক্টোবর, ২০১৮ ১৪:৫১",0,1
123,মাস্টার্স প্রিলি টু রিলিজ স্লিপে ভর্তিতালিকা প্রকাশ বৃহস্পতিবার,1,1
124,ব্রাজিলে বার্সেলোনার ম্যালকম,1,1
125,বাগেরহাটে বৃদ্ধার গলাকাটা লাশ উদ্ধার,0,1
126,৩ লাখ ফিলিস্তিনি শরণার্থীর সৌদি ভ্রমণে নিষেধাজ্ঞা,1,0
127,ইট না ছুড়ে জেসিয়া যে ৮টি উপায়ে সালমান মুক্তাদিরের দরজা খোলাতে পারতেন,0,0
128,বগুড়ায় বরিশাল-রংপুরের ম্যাচ ড্র,1,1
129,বিয়ের পিঁড়িতে বসা হলো না কলেজশিক্ষার্থী রঞ্জনার,0,1
130,তামিমের জায়গায় ওপেনিংয়ে খেলবেন কে?,0,0
131,"নাটোরে সাংবাদিককে হত্যার হুমকি, থানায় জিডি",1,0
132,খালেদার বিচারকাজ ‘বন্ধের কৌশল’ ফাঁস (অডিও),0,1
133,রাজাপুরে গাঁজাসহ মাদক কারবারি আটক,0,1
134,অস্ট্রেলিয়ার পর নিউজিল্যান্ডেও!,1,1
135,সড়ক নয় যেন মরন ফাঁদ,1,1
136,মাগুরা পৌর এলাকায় পচা-দুর্গন্ধযুক্ত পানি সরবরাহ,0,1
137,"তাহিরের হ্যাটট্রিক, স্টেইনের ব্যাটিং গোলা",0,1
138,গ্রেনেড হামলার রায় নিয়ে কঠোর অবস্থানে পুলিশ,0,1
139,"ভিক্টোরিয়া লেকে ফেরিডুবি, ১৩৬ জনের মৃত্যু",1,0
140,যুক্তরাষ্ট্রের সাথে সভ্য সম্পর্ক চায় কিউবা,1,1
141,ডিরেক্টরস গিল্ডের সভাপতি লাভলু ও সাধারণ সম্পাদক অলিক,1,1
142,মেয়র আনিসুলের স্বপ্নের ফুড কোর্টে ভাসে ফেনসিডিলের বোতল,1,1
143,ক্রোম ও ফায়ারফক্স ডাউনলোড করতে মাইক্রোসফটের সতর্কতা,0,0
144,শুরু হচ্ছে দুই বাংলার তারকাদের লড়াই,0,1
145,যুক্তরাষ্ট্রকে চীনের পাল্টা হুমকি,0,0
146,যাদবের ঘূর্ণিতে সাজঘরে বাবর,1,1
147,শার্শায় ৩০টি মণ্ডপে চলছে দূর্গোৎসবের প্রস্তুতি,1,1
148,সংসদ নির্বাচন নিয়ে রয়টার্সকে যা বললেন বিএনপি মহাসচিব,0,1
149,"কেড়ে নেওয়া হচ্ছে না অং সান সু চির নোবেল পুরস্কার ০৩ অক্টোবর, ২০১৮ ১০:১৪",1,1
150,সাইবার অপরাধ ঠেকাতে এবার ‘সাইবার পুলিশ’,0,1
151,বাবার হাত ধরেই এত দূর এলেন পুজারা,0,1
152,একজন হাসিখুশি মানুষের গল্প,0,1
153,রাজধানীতে কড়া নিরাপত্তায় তাজিয়া মিছিল,0,0
154,শিমুলিয়া-কাঁঠালবাড়ী নৌরুটে স্বাভাবিক হয়নি ফেরি চলাচল,1,1
155,দেশে আনা হচ্ছে সেফাত উল্লাহর মরদেহ!,1,0
156,"বিমানের পরিবেশ দুষণ করছে বরিশাল, সিলেটি, নোয়াখাইলারা",0,0
157,তিন ফুট কোবরাকে গিলে ফেলল সাড়ে চার ফুটের কোবরা (ভিডিও),1,1
158,ডিজিটাল নিরাপত্তা আইনের যে তথ্যগুলো অবশ্যই জানা দরকার,0,0
159,রাজধানীতে তরুণের রহস্যজনক মৃত্যু,1,0
160,ছাত্রলীগের হাতে লাঞ্ছনার শিকার আ.লীগ নেতা,0,1
161,সমাবেশে আমিনী: আন্দোলন ব্যর্থ হলে ভারতের অঙ্গরাজ্য হবে বাংলাদেশ | দৈনিক মতিকণ্ঠ,1,0
162,৬৪ জেলার মাটি দিয়ে ‘আরেক বাংলাদেশ’ গড়লেন শুভংকর,1,0
163,বাংলাদেশ ট্যারিফ কমিশনে নিয়োগ,1,1
164,সৌদি আরবের খেজুরের চারা দিয়ে বাগান করলেন লাবলু,0,1
165,ধ্রুবর গানে কলকাতার রাইমা সেন,0,1
166,শিক্ষামন্ত্রী হিসেবে নুরুল ইসলাম নাহিদকে হারানোয় একটি বিদায়ী মানপত্র,0,0
167,সমরাস্ত্র কারখানায় নিয়োগ,1,1
168,বার্সেলোনা-রিয়াল মাদ্রিদের দুঃস্বপ্নের রাত,1,1
169,টকশোতে বক্তব্য দিতে গিয়ে জাপা নেতার মৃত্যু,0,0
170,ফ্লোরিডায় আঘাত হেনেছে ঘূর্ণিঝড় ‘মাইকেল’,0,1
171,"আকাশে বিমানের জরুরি দরজা খোলার চেষ্টা যাত্রীর, অতঃপর...",0,1
172,রাষ্ট্রীয় যন্ত্রের সহায়তায় গ্রেনেড হামলা: আদালত,0,1
173,নির্বাচনের আগে সিনহা অপপ্রচারে উসকানি না দিলেও পারতেন,0,0
174,রাশিয়ার ওপর হামলার হুমকি যুক্তরাষ্ট্রের,0,1
175,ট্রাম্পকে অভিশংসনের পরিকল্পনা করার অভিযোগ প্রত্যাখ্যান রড রজেন্সটাইনের,1,0
176,শুরু হয়েছে ৪০তম বিসিএসের আবেদন,0,1
177,সড়কপথে ‘নির্বাচনী যাত্রা’য় অা.লীগ নেতারা,0,0
178,বঙ্গোপসাগরে সৃষ্ট সুস্পষ্ট লঘুচাপটি গভীর নিম্নচাপে পরিণত,0,1
179,তুরস্কে প্রশিক্ষণ নিলেন জাগো নিউজের রবিউল,0,0
180,Avengers: Endgame এর টিকেট এর জন্য বসুন্ধরার স্টার সিনেপ্লেক্স থেকে মিরপুর পর্যন্ত লম্বা লাইন  - Bengal Beats,1,0
181,২৪ সেপ্টেম্বর: আজকের ধাঁধা,0,1
182,"আরএসএস-এর রংবদল, পরীক্ষার মুখে মোহন ভাগবত",0,0
183,চলচ্চিত্রের দুই যোদ্ধা,1,1
184,এনসিএলে আরিফুলের ডাবল সেঞ্চুরি,0,1
185,আবারো ট্রেবল জিততে চান মেসি,1,1
186,নাজিবের বিরুদ্ধে ২১ মামলা করবে পুলিশ,0,0
187,মায়ের ক্যান্সারের ওষুধ খেয়ে নিষিদ্ধ শেহজাদ,0,1
188,মোরেলগঞ্জে আধিপত্য বিস্তার নিয়ে সংঘর্ষে আ' লীগের দুই নেতা নিহত,0,1
189,দশমিনায় ছাত্রলীগ নেতা রাকিব খুন ॥ আহত ৩,0,0
190,ফাইনালের টিকেট বেচে দিচ্ছেন পাকিস্তানি ভক্তরা,0,1
191,আওয়ামী লীগের দুপক্ষের সংঘর্ষে নিহত ২,0,1
192,কুমিল্লায় বিদ্যুৎস্পৃষ্টে প্রবাসী যুবকের মৃত্যু,1,0
193,যুক্তরাষ্ট্রে বন্দুকধারী নারীর গুলিতে নিহত ৩,0,0
194,ওয়ালটন ত্রিদেশীয় বধির ক্রিকেটের উদ্বোধন,0,1
195,খুলনায় সড়ক দুর্ঘটনায় দুই সহোদরের মৃত্যু,1,0
196,"রনির জোড়া আঘাতে চাপে আফগানিস্তান ২০ সেপ্টেম্বর, ২০১৮ ১৮:০৬",1,1
197,৭ রোহিঙ্গাকে আজ মিয়ানমারে পাঠাচ্ছে ভারত,0,1
198,ফখরুলকে নির্বাচনের প্রস্তুতি নিতে বললেন নাসিম,0,1
199,বায়ার্নকে রুখে দিয়েছে অগসবুর্গ,1,1
200,দুই বড় দলে কোন্দল তুঙ্গে প্রার্থী হতে চান ১০ জন,0,1
201,সৌম্য-ইমরুল বিষয়ে মাশরাফির সঙ্গে আলোচনা হয়নি!,1,0
202,সংবাদ সম্মেলনে যা বললেন ব্রাউন ফিশের মুখপাত্র জনাব খান হেলাল - Bengal Beats,1,0
203,কোটা বাতিলের প্রতিবাদে রাজশাহী-ঢাকা মহাসড়ক অবরোধ,0,1
204,রায় নিয়ে সরকারের নেতা-মন্ত্রীদের প্রতিক্রিয়া,0,1
205,পাকিপ্রেমের পতপত পতাকা  | দৈনিক মতিকণ্ঠ,0,0
206,তিতাসে ঘুষ কেলেঙ্কারি,0,1
207,বন্দরের ছয় কর্মচারীর বিরুদ্ধে মানহানির মামলা,0,1
208,নাটোরে হত্যা মামলার আসামি আটক,1,0
209,নিরাপত্তা শঙ্কায় বাংলাদেশে না আসা হেলসই এবার রংপুর রাইডার্সে,0,1
210,ফেরি চলে তো চলে না!,0,0
211,জাতীয় হৃদরোগ ইনস্টিটিউটে আজও অপারেশন থিয়েটার বন্ধ,0,0
212,ছোট গাদ্দারের পোলাকে বড় গাদ্দারের পোলার ওপেন চেলেঞ্জ | দৈনিক মতিকণ্ঠ,0,0
213,নেপালের বিরুদ্ধে গ্রুপসেরা হওয়ার লড়াই স্বপ্না-মারজিয়াদের,0,1
214,ইয়েমেনে দুর্ভিক্ষের ছোবলে ৫০ লাখ শিশু,1,0
215,গণতন্ত্রের জয় হোক,0,1
216,চট্টগ্রাম বন্দরে কনটেইনার হ্যান্ডেলিংয়ের রেকর্ড,0,1
217,সেরা ‘গেম অব থ্রোনস’,1,0
218,ঝিনাইদহে ইজিবাইক চাপায় শিশু নিহত,0,1
219,বুয়েট ও বিইউপির শিক্ষার্থীদের 'থাগ লাইফ লুঙি শো',1,0
220,কেউ বিশৃঙ্খলা করলে তাদের বিরুদ্ধে আইননানুগ ব্যবস্থা নেয়া হবে ॥ সিটিটিসি প্রধান,0,0
221,খালেদাকে বঙ্গবন্ধু মেডিকেলে ভর্তির নির্দেশ হাই কোর্টের,0,1
222,মৌসুমী এমপি না হওয়ায় মন খারাপ করে রাতে ভাত খায়নি ওমর সানী,0,0
223,"ডেঙ্গুর মৌসুম চলছে, সচেতন থাকুন",0,1
224,ট্রাম্প-মেলানিয়ার কাছে সৌদি সাংবাদিকের বাগদত্তার আবেদন,0,1
225,বেদ্বীনের আবার কিসের ঈদ: তুষার | দৈনিক মতিকণ্ঠ,0,0
226,"ফরিদপুরে আ.লীগের আনন্দ মিছিল, মিষ্টি বিতরণ",1,1
227,বিপিএল থেকে সরে দাঁড়াল চিটাগাং ভাইকিংস,1,1
228,চট্টগ্রামে প্রতিপক্ষের হামলায় ছাত্রলীগ কর্মী নিহত,0,1
229,আগুনমুখায় ভাসমান লাশ,1,1
230,বাতিল হচ্ছে সু চির কানাডার নাগরিকত্ব,0,1
231,নিয়োগ চলছে ঢাকা শিশু হাসপাতালে,0,1
232,টিজারে নজর কাড়লেন,0,1
233,মন ফুরফুরে রাখতে,0,1
234,ট্রাফিক আইন না মানতে অজুহাতের পাহাড়,1,1
235,‘সোনার বাংলা’র জবাবে ‘নান্টু ঘটক’ দিয়ে গনেশ বুকে নাম তুলার হুমকি খালেদার | দৈনিক মতিকণ্ঠ,0,0
236,"সংস্কার হবে ফারাক্কা ব্রিজ, পাশে তৈরি হচ্ছে সেতু",1,0
237,"পাকিস্তানের বিরুদ্ধে ম্যাচ : 'সাকিব নিচ্ছেন ইঞ্জেকশন, মাশরাফি ওষুধ'",1,1
238,যুবলীগ নেতার বাসায় ডাকাতি,0,1
239,কুয়াকাটায় গভীর সমুদ্রে ভাসছে মাছধরার ট্রলারসহ ৮ জেলে,1,0
240,অধ্যাপক আমজাদ হোসেনরাই পারবে সমাজকে বদলে দিতে,0,0
241,‘দুই বছরের মধ্যে যানজটমুক্ত নিরাপদ সড়ক উপহার’,1,1
242,দীঘিনালায় ব্যাটারিচালিত টমটমে পথচারীরা অতিষ্ঠ,0,0
243,"তনুশ্রীর যৌন হেনস্থা করেছেন নানা, শুনে হেসেই ফেললেন শক্তি কাপুর",0,1
244,বাংলাদেশ-ভারত বাণিজ্য বিষয়ে দুই মন্ত্রীর ডায়ালগ,0,1
245,আমরা যুদ্ধের জন্য প্রস্তুত:পাকিস্তান আর্মি,1,1
246,মাছ ধরতে গিয়ে তিন জনের মৃত্যু,1,1
247,১৬০০ ফুট অবৈধ গ্যাস সংযোগের পাইপ বিচ্ছিন্ন,1,1
248,ইসরায়েলকে সতর্ক করল রাশিয়া,1,1
249,দৈনন্দিন জীবনে ধুলাবালির ১০টি উপকারিতা ও বিকল্প ব্যবহার,0,0
250,জবির প্রকল্প অনুমোদনে আনন্দ মিছিল ও বিক্ষোভ,1,1
251,"বাংলাদেশের জয়, টিএসিতেও উল্লাস",1,1
252,"জটিল হচ্ছে খাশোগগি রহস্য, কনস্যুলেটের ভেতরে খুনের দাবি তুরস্কের",0,1
253,কারাগার কর্তৃপক্ষের সংগে চুক্তি করতে চায় বিজিএমইএ | দৈনিক মতিকণ্ঠ,0,0
254,শেষ দিন ইলিশ বেচাকেনার ধুম,0,1
255,কথিত বড় ভাইয়ের নির্দেশেই ছাত্রলীগ নেতা মামুন খুন!,1,1
256,রাজশাহী বিভাগে এক হাজার পূজামণ্ডপ ‘অধিক গুরুত্বপূর্ণ’,0,1
257,"ডাক্তারের ভুলে জীবিত তরুণ হিমঘরে, অতঃপর করুণ পরিণতি",0,1
258,"মহালছড়িতে বেইলি ব্রিজ ভেঙে ট্রাক নদীতে, নিখোঁজ ১",1,1
259,৩৬ মন্দিরে পূজা হবে জয়দেবের তৈরি প্রতিমায়,1,1
260,জেএমবিকে অর্থ জোগাচ্ছে জঙ্গি শায়খের পরিবার,1,0
261,কোটি টাকা পুরস্কারের কুইজ শো আসছে ইনডিপেনডেন্টে,1,0
262,পুকুরে দুই মাদরাসা ছাত্রের মরদেহ,1,1
263,আর্জেন্টিনার বিপক্ষে ব্রাজিল দলে তিন নতুন মুখ,0,1
264,জাফর ইকবাল আমার গান ছাড়া অন্য কারো কণ্ঠে লিপ দিতে চাইতেন না',0,1
265,তাপসী পান্নুর জায়গায় ফাতিমা সানা শেখ,0,1
266,যারা আন্দোলনে ব্যর্থ তারা গুজব ছড়াচ্ছে: কাদের,1,1
267,সাতক্ষীরায় দেয়াল ধসে একজনের মৃত্যু,0,1
268,খালেদার তোপের মুখে বৃটিশ হাই কমিশনার গিবসন | দৈনিক মতিকণ্ঠ,0,0
269,১৪ দল-বিএনপি মুখোমুখি,0,1
270,আকাশ উচ্চতায় নতুন নাগরিকদের স্বাগত জানালো কানাডা,0,1
271,ইন্দোনেশিয়ায় সুনামিতে মৃত ব্যক্তিদের গণকবর শুরু,0,1
272,যৌন নিপীড়নের অভিযোগ থাকা শিক্ষক পুনর্বহাল,1,1
273,"কিনলেন খাসির লেগ পিস, বাসায় এসে দেখেন চিরুনি ! পরিবারে শোকের মাতম",0,0
274,ভারত-পাকিস্তান বিবাদে বছরে ক্ষতি ৩৫ বিলিয়ন ডলার: বিশ্বব্যাংক,0,1
275,চট্টগ্রামে ইয়াবার 'গডফাদার' আটক,1,1
276,খুলনায় ২ কিশোরের লাশ উদ্ধার,1,0
277,নির্বাচনের আগে যাচ্ছেন না হর্ষবর্ধন শ্রিংলা,0,1
278,"পালানোর জন্য সাঁতার শিখুন, নেতানিয়াহুকে ইরানি কমান্ডার",0,1
279,গোলপাতার ঘর থেকে সালমার ‘পাকা বাড়ি’,0,1
280,মুখে প্রস্রাব লাগালে কি ব্রণ ভালো হয়?,1,0
281,দলের প্রয়োজনে যেকোন পজিশনে খেলবো,1,1
282,ফেরার ইঙ্গিত দিলেন দিলশান,1,0
283,কোটার দাবিতে ঢাকা-রাজশাহী মহাসড়ক অবরোধ,0,1
284,শ্রীমঙ্গলে আইডিয়া’র আ্যাডভোকেসি সভা অনুষ্ঠিত,1,1
285,নিজের ওপর আস্থা হারাতে চান না ইমরুল,1,1
286,বেঁচে যাওয়া ৪ কোটি ৪৪ লাখ টাকা ফেরত দিলেন ঠিকাদার,0,0
287,প্রধানমন্ত্রীর নেতৃত্বেই সফলতা অর্জন করেছে বাংলাদেশ,0,1
288,বর্জ্য থেকে তেল উৎপাদনে সহায়তা চান প্রবাসী বিজ্ঞানী দম্পতি,0,1
